1,Ruble,30.09
2,Ruble,46.89
3,Ruble,86.25
4,Ruble,7.43
5,Ruble,68.11
6,Ruble,55.18
7,Ruble,23.88
8,Ruble,12.68
9,Ruble,91.58
10,Ruble,3.03
11,Ruble,15.10
12,Ruble,83.19
13,Ruble,62.78
14,Ruble,8.98
15,Ruble,39.22
16,Ruble,92.96
17,Ruble,55.26
18,Ruble,95.80
19,Ruble,65.30
20,Ruble,36.91
21,Ruble,34.77
22,Ruble,70.03
23,Ruble,11.17
24,Ruble,64.58
25,Ruble,72.76
26,Ruble,97.78
27,Ruble,91.34
28,Ruble,75.17
29,Ruble,99.83
30,Ruble,95.60
31,Ruble,18.44
32,Ruble,83.32
33,Ruble,43.27
34,Ruble,65.90
35,Ruble,2.31
36,Ruble,11.99
37,Ruble,5.38
38,Ruble,40.76
39,Ruble,28.86
40,Ruble,6.62
41,Ruble,9.73
42,Ruble,0.44
43,Ruble,30.39
44,Ruble,70.51
45,Ruble,89.94
46,Ruble,75.65
47,Ruble,98.60
48,Ruble,65.75
49,Ruble,52.04
50,Ruble,67.17
51,Ruble,45.52
52,Ruble,74.26
53,Ruble,13.12
54,Ruble,64.28
55,Ruble,21.70
56,Ruble,56.38
57,Ruble,36.76
58,Ruble,0.66
59,Ruble,43.03
60,Ruble,9.96
61,Ruble,9.64
62,Ruble,9.10
63,Ruble,31.87
64,Ruble,18.38
65,Ruble,2.25
66,Ruble,50.01
67,Ruble,6.32
68,Ruble,54.55
69,Ruble,56.70
70,Ruble,69.48
71,Ruble,69.18
72,Ruble,37.31
73,Ruble,5.51
74,Ruble,25.12
75,Ruble,2.68
76,Ruble,84.70
77,Ruble,14.80
78,Ruble,25.42
79,Ruble,42.42
80,Ruble,5.68
81,Ruble,41.65
82,Ruble,12.92
83,Ruble,73.44
84,Ruble,54.06
85,Ruble,63.86
86,Ruble,18.56
87,Ruble,83.39
88,Ruble,64.42
89,Ruble,65.63
90,Ruble,51.37
91,Ruble,87.55
92,Ruble,40.17
93,Ruble,6.71
94,Ruble,53.20
95,Ruble,26.65
96,Ruble,31.87
97,Ruble,92.40
98,Ruble,74.13
99,Ruble,28.36
100,Ruble,0.77
101,Ruble,47.03
102,Ruble,75.04
103,Ruble,94.77
104,Ruble,73.74
105,Ruble,41.30
106,Ruble,7.31
107,Ruble,17.13
108,Ruble,24.18
109,Ruble,72.85
110,Ruble,75.10
111,Ruble,90.93
112,Ruble,23.22
113,Ruble,68.90
114,Ruble,56.11
115,Ruble,8.84
116,Ruble,2.11
117,Ruble,95.01
118,Ruble,70.12
119,Ruble,21.80
120,Ruble,11.78
121,Ruble,6.57
122,Ruble,31.43
123,Ruble,51.66
124,Ruble,13.73
125,Ruble,40.79
126,Ruble,16.48
127,Ruble,59.83
128,Ruble,40.69
129,Ruble,52.14
130,Ruble,31.91
131,Ruble,8.53
132,Ruble,31.34
133,Ruble,6.84
134,Ruble,51.74
135,Ruble,6.03
136,Ruble,70.15
137,Ruble,43.97
138,Ruble,80.96
139,Ruble,82.86
140,Ruble,3.97
141,Ruble,24.08
142,Ruble,73.53
143,Ruble,80.84
144,Ruble,32.70
145,Ruble,66.40
146,Ruble,46.72
147,Ruble,5.54
148,Ruble,19.78
149,Ruble,67.31
150,Ruble,37.80
151,Ruble,37.73
152,Ruble,82.24
153,Ruble,55.91
154,Ruble,24.87
155,Ruble,3.41
156,Ruble,70.20
157,Ruble,66.50
158,Ruble,30.81
159,Ruble,69.57
160,Ruble,94.11
161,Ruble,82.68
162,Ruble,90.85
163,Ruble,87.87
164,Ruble,59.38
165,Ruble,92.98
166,Ruble,67.74
167,Ruble,16.28
168,Ruble,37.67
169,Ruble,9.59
170,Ruble,67.00
171,Ruble,83.21
172,Ruble,67.80
173,Ruble,49.20
174,Ruble,55.47
175,Ruble,39.29
176,Ruble,91.06
177,Ruble,89.87
178,Ruble,2.95
179,Ruble,74.13
180,Ruble,53.00
181,Ruble,9.41
182,Ruble,61.83
183,Ruble,4.25
184,Ruble,70.32
185,Ruble,31.34
186,Ruble,64.55
187,Ruble,16.35
188,Ruble,99.67
189,Ruble,61.61
190,Ruble,10.94
191,Ruble,12.10
192,Ruble,15.05
193,Ruble,13.59
194,Ruble,26.35
195,Ruble,42.41
196,Ruble,20.57
197,Ruble,36.48
198,Ruble,83.49
199,Ruble,28.70
200,Ruble,75.92
201,Ruble,1.98
202,Ruble,7.42
203,Ruble,49.05
204,Ruble,85.55
205,Ruble,79.38
